SRP	SRR	sample
SRP240491	SRR10852272	BESC 367_Control_1
SRP240493	SRR10852270	BESC 367_Control_2
SRP240494	SRR10852269	BESC 367_Control_3
SRP240492	SRR10852271	BESC 367_0h_1
SRP240496	SRR10852267	BESC 367_0h_2
SRP240497	SRR10852266	BESC 367_0h_3
SRP240495	SRR10852268	BESC 367_24h_1
SRP240498	SRR10852265	BESC 367_24h_2
SRP240500	SRR10852263	BESC 367_24h_3
SRP240499	SRR10852264	BESC 367_72h_1
SRP240501	SRR10852262	BESC 367_72h_2
SRP240502	SRR10852261	BESC 367_72h_3
SRP240482	SRR10852257	BESC 347_Control_2
SRP240489	SRR10852250	BESC 347_Control_3
SRP240490	SRR10852249	BESC 347_0h_1
SRP240484	SRR10852255	BESC 347_0h_2
SRP240480	SRR10852259	BESC 347_0h_3
SRP240485	SRR10852254	BESC 347_24h_1
SRP240488	SRR10852251	BESC 347_24h_2
SRP240487	SRR10852252	BESC 347_24h_3
SRP240486	SRR10852253	BESC 347_72h_1
SRP240483	SRR10852256	BESC 347_72h_2
SRP240481	SRR10852258	BESC 347_72h_3
SRP240527	SRR10852332	GW 9807_Control_1
SRP240519	SRR10852340	GW 9807_Control_2
SRP240524	SRR10852335	GW 9807_Control_3
SRP240523	SRR10852336	GW 9807_0h_1
SRP240522	SRR10852337	GW 9807_0h_2
SRP240520	SRR10852339	GW 9807_0h_3
SRP240528	SRR10852331	GW 9807_24h_1
SRP240525	SRR10852334	GW 9807_24h_2
SRP240521	SRR10852338	GW 9807_24h_3
SRP240526	SRR10852333	GW 9807_72h_1
SRP240518	SRR10852341	GW 9807_72h_2
SRP240517	SRR10852342	GW 9807_72h_3
